,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITY DEPOSITORY RECEIPT TYPE,MARKET VALUE*,SHARES
,2326618,Exxon Mobil Corp.,XOM,22.51%,Integrated Oil & Gas,US,---,"$2,162,770,994.90 ","19,722,515"
,2838555,Chevron Corp.,CVX,16.10%,Integrated Oil & Gas,US,---,"$1,547,384,639.68 ","9,483,848"
,2685717,ConocoPhillips,COP,6.58%,Oil & Gas Exploration & Production,US,---,"$632,322,177.33 ","6,373,573"
,B3K3L40,Marathon Petroleum Corp.,MPC,3.79%,Oil & Gas Refining & Marketing,US,---,"$364,517,084.73 ","2,703,531"
,2779201,Schlumberger NV,SLB,3.70%,Oil & Gas Equipment & Services,US,---,"$355,901,791.90 ","7,248,509"
,2318024,EOG Resources Inc.,EOG,3.58%,Oil & Gas Exploration & Production,US,---,"$344,247,416.34 ","3,003,118"
,2655408,Occidental Petroleum Corp.,OXY,3.04%,Integrated Oil & Gas,US,---,"$292,083,999.12 ","4,678,584"
,2041364,Valero Energy Corp.,VLO,3.00%,Oil & Gas Refining & Marketing,US,---,"$288,666,415.60 ","2,067,811"
,B78C4Y8,Phillips 66,PSX,2.61%,Oil & Gas Refining & Marketing,US,---,"$250,465,170.04 ","2,470,558"
,2690830,Pioneer Natural Resources Co.,PXD,2.48%,Oil & Gas Exploration & Production,US,---,"$237,880,166.16 ","1,164,709"
,2967181,Williams Cos. Inc.,WMB,1.95%,Oil & Gas Storage & Transportation,US,---,"$187,144,384.84 ","6,267,394"
,B3NQ4P8,Kinder Morgan Inc.,KMI,1.91%,Oil & Gas Storage & Transportation,US,---,"$183,606,305.47 ","10,485,797"
,2654364,Cheniere Energy Inc.,LNG,1.90%,Oil & Gas Storage & Transportation,US,---,"$182,651,938.40 ","1,158,959"
,2023748,Hess Corp.,HES,1.70%,Oil & Gas Exploration & Production,US,---,"$163,226,170.90 ","1,233,385"
,2480677,Devon Energy Corp.,DVN,1.69%,Oil & Gas Exploration & Production,US,---,"$161,965,310.43 ","3,200,263"
,BDHLTQ5,Baker Hughes Co.,BKR,1.57%,Oil & Gas Equipment & Services,US,---,"$150,610,931.64 ","5,218,674"
,2405302,Halliburton Co.,HAL,1.54%,Oil & Gas Equipment & Services,US,---,"$147,746,017.44 ","4,669,596"
,2130109,ONEOK Inc.,OKE,1.52%,Oil & Gas Storage & Transportation,US,---,"$146,463,957.18 ","2,305,067"
,B7Y8YR3,Diamondback Energy Inc.,FANG,1.23%,Oil & Gas Exploration & Production,US,---,"$118,140,472.38 ","874,014"
,2162340,Coterra Energy Inc.,CTRA,1.05%,Oil & Gas Exploration & Production,US,---,"$101,196,407.82 ","4,123,733"
,2910970,Marathon Oil Corp.,MRO,0.89%,Oil & Gas Exploration & Production,US,---,"$85,911,335.40 ","3,585,615"
,B55PZY3,Targa Resources Corp.,TRGP,0.85%,Oil & Gas Storage & Transportation,US,---,"$81,730,626.75 ","1,120,365"
,BNNF1C1,APA Corp.,APA,0.64%,Oil & Gas Exploration & Production,US,---,"$61,799,555.88 ","1,713,798"
,BM99VY2,Texas Pacific Land Corp.,TPL,0.57%,Oil & Gas Exploration & Production,US,---,"$54,759,235.84 ","32,192"
,BJ01KB6,Ovintiv Inc.,OVV,0.50%,Oil & Gas Exploration & Production,US,---,"$47,944,908.00 ","1,328,850"
,2319414,EQT Corp.,EQT,0.48%,Oil & Gas Exploration & Production,US,---,"$46,081,582.01 ","1,444,111"
,BMZ5LZ5,Chesapeake Energy Corp.,CHK,0.46%,Oil & Gas Exploration & Production,US,---,"$44,137,037.80 ","580,445"
,BMZQ9C1,HF SINCLAIR CORP,DINO,0.43%,Oil & Gas Refining & Marketing,US,---,"$41,710,817.00 ","862,150"
,BN2RYW9,NOV Inc.,NOV,0.40%,Oil & Gas Equipment & Services,US,---,"$38,557,255.50 ","2,083,050"
,2523334,Range Resources Corp.,RRC,0.39%,Oil & Gas Exploration & Production,US,---,"$37,146,727.44 ","1,403,352"
,BFD2WR8,Antero Resources Corp.,AR,0.35%,Oil & Gas Exploration & Production,US,---,"$33,578,309.24 ","1,454,236"
,B89M5F2,PDC Energy Inc.,PDCE,0.34%,Oil & Gas Exploration & Production,US,---,"$33,134,786.22 ","516,279"
,BDSFG98,TechnipFMC plc,FTI,0.33%,Oil & Gas Equipment & Services,US,---,"$31,752,370.65 ","2,326,181"
,B7MSLL8,Matador Resources Co.,MTDR,0.31%,Oil & Gas Exploration & Production,US,---,"$30,053,665.05 ","630,717"
