,,,,,,,,,
,,,,,,,,,
Security Name,Identifier,CUSIP,Classification,Shares or Quantity,Market Value,Weighting,,,
"General Mills, Inc.",GIS,370334104,Food Products,"945,529 ","$83,679,316.50",8.41%,,,
"Mondelez International, Inc.",MDLZ,609207105,Food Products,"1,153,448 ","$83,624,980.00",8.40%,,,
"PepsiCo, Inc.",PEP,713448108,Soft Drinks,"433,246 ","$82,191,098.66",8.26%,,,
The Coca-Cola Company,KO,191216100,Soft Drinks,"1,263,339 ","$80,664,195.15",8.10%,,,
Archer-Daniels-Midland Company,ADM,039483102,Fruit and Grain Processing,"944,498 ","$71,687,398.20",7.20%,,,
The Hershey Company,HSY,427866108,Food Products,"157,705 ","$41,473,260.90",4.17%,,,
"Conagra Brands, Inc.",CAG,205887102,Food Products,"1,032,420 ","$39,376,498.80",3.96%,,,
The J.M. Smucker Company,SJM,832696405,Food Products,"254,184 ","$39,230,758.56",3.94%,,,
Campbell Soup Company,CPB,134429109,Food Products,"715,736 ","$39,129,287.12",3.93%,,,
Kellogg Company,K,487836108,Food Products,"570,069 ","$39,078,229.95",3.93%,,,
Keurig Dr Pepper Inc.,KDP,49271V100,Soft Drinks,"1,088,007 ","$39,048,571.23",3.92%,,,
"Tyson Foods, Inc. (Class A)",TSN,902494103,Food Products,"634,514 ","$38,705,354.00",3.89%,,,
The Kraft Heinz Company,KHC,500754106,Food Products,"965,331 ","$38,072,654.64",3.82%,,,
Brown-Forman Corporation,BF/B,115637209,Distillers and Vintners,"579,467 ","$37,056,914.65",3.72%,,,
Corteva Inc.,CTVA,22052L104,"Farming, Fishing, Ranching and Plantations","603,465 ","$36,527,736.45",3.67%,,,
Hormel Foods Corporation,HRL,440452100,Food Products,"847,033 ","$33,898,260.66",3.41%,,,
US Foods Holding Corp.,USFD,912008109,Food Products,"893,812 ","$33,124,672.72",3.33%,,,
Coca-Cola Consolidated Inc.,COKE,191098102,Soft Drinks,"45,959 ","$25,757,721.55",2.59%,,,
"Lamb Weston Holdings, Inc.",LW,513272104,Food Products,"217,614 ","$23,891,841.06",2.40%,,,
"Flowers Foods, Inc.",FLO,343498101,Food Products,"563,989 ","$15,351,780.58",1.54%,,,
"Post Holdings, Inc.",POST,737446104,Food Products,"159,229 ","$14,180,934.74",1.42%,,,
"Hostess Brands, Inc. (Class A)",TWNK,44109J106,Food Products,"448,494 ","$11,171,985.54",1.12%,,,
Lancaster Colony Corporation,LANC,513847103,Food Products,"46,257 ","$9,490,086.12",0.95%,,,
Ingredion Incorporated,INGR,457187102,Fruit and Grain Processing,"58,012 ","$6,021,645.60",0.60%,,,
National Beverage Corp.,FIZZ,635017106,Soft Drinks,"119,947 ","$5,985,355.30",0.60%,,,
"BellRing Brands, Inc.",BRBR,07831C103,Food Products,"154,803 ","$5,461,449.84",0.55%,,,
Monster Beverage Corporation,MNST,61174X109,Soft Drinks,"93,922 ","$5,091,511.62",0.51%,,,
"TreeHouse Foods, Inc.",THS,89469A104,Food Products,"97,966 ","$5,121,662.48",0.51%,,,
The Simply Good Foods Company,SMPL,82900L102,Food Products,"137,924 ","$4,958,367.80",0.50%,,,
Bunge Limited,BG,G16962105,Fruit and Grain Processing,"50,048 ","$4,573,386.24",0.46%,,,
,,,,,,,,,
,,,,,,,,,
