Date,Event
2/24/22,Invasion Announcement
2/25/22,Ukraine announces it will defend its territoy
3/2/22,Refugee Crisis in Poland
3/6/22,Irpin Bridge Evacuation
3/9/22,Mariupol Hospital Attack
3/16/22,Mariupol Theater Bombing
4/1/22,War crimes uncovered
4/14/22,Sunking of Russian main ship
5/17/22,Mariupol Steel Plant Defence
9/1/22,Russian retreat from Kharkiv
9/21/22,Russia starts mobilization
10/8/22,Crimea Bridge Attack
10/10/22,Kyiv Blackout
11/12/22,Kherson city liberation
12/21/22,Zelensky visits White House
1/25/23,Germany sends tanks
2/20/23,Biden visits Kyiv
