S.No.,Company,Ticker,Country,
1,AlleghenyTechnologiesIncorporated,ATI,USA,
2,ArcelorMittal,MT,Luxembourg,
3,CarpenterTechnologyCorporation,CRS,USA,
4,CommercialMetalsCompany,CMC,USA,
5,CompanhiaSiderurgicaNacionalS.A.,SID,Brazil,
6,FriedmanIndustriesInc.,FRD,USA,
7,GerdauS.A.,GGB,Brazil,
8,GrupoSimecS.A.B.deC.V.,SIM,Mexico,
9,MechelPAO,MTL,Russia,
10,NucorCorporation,NUE,USA,
11,POSCO,PKX,SouthKorea,
12,SunCokeEnergyInc.,SXC,USA,
13,TenarisS.A.,TS,Luxembourg,
14,TerniumS.A.,TX,Luxembourg,
15,TimkenSteelCorporation,TMST,USA,
16,TitanInternationalInc.,TWI,USA,
17,USASteelCorporation,X,USA,
18,WorthingtonIndustriesInc.,WOR,USA,
,,,,
,,,,
,,,,
