Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
NVIDIA Corporation,NVDA,67066G10,2379504,3.471717,Semiconductors,188573.000,USD,,,,
Rambus Inc.,RMBS,75091710,2721967,3.331841,Semiconductors,1048570.000,USD,,,,
Impinj Inc.,PI,45320410,BYYGJZ9,3.253282,Semiconductors,340956.000,USD,,,,
Intel Corporation,INTC,45814010,2463247,3.223475,Semiconductors,1590899.000,USD,,,,
Micron Technology Inc.,MU,59511210,2588184,3.215816,Semiconductors,788373.000,USD,,,,
Advanced Micro Devices Inc.,AMD,00790310,2007849,3.080056,Semiconductors,523878.000,USD,,,,
First Solar Inc.,FSLR,33643310,B1HMF22,3.078742,Semiconductors,208437.000,USD,,,,
Broadcom Inc.,AVGO,11135F10,BDZ78H9,3.072110,Semiconductors,70396.000,USD,,,,
Analog Devices Inc.,ADI,03265410,2032067,3.028429,Semiconductors,238297.000,USD,,,,
QUALCOMM Incorporated,QCOM,74752510,2714923,3.007918,Semiconductors,375912.000,USD,,,,
Texas Instruments Incorporated,TXN,88250810,2885409,2.998804,Semiconductors,252334.000,USD,,,,
Universal Display Corporation,OLED,91347P10,2277880,2.995003,Semiconductors,317388.000,USD,,,,
Lattice Semiconductor Corporation,LSCC,51841510,2506658,2.989388,Semiconductors,500219.000,USD,,,,
Marvell Technology Inc.,MRVL,57387410,BNKJSM5,2.899149,Semiconductors,1119546.000,USD,,,,
Monolithic Power Systems Inc.,MPWR,60983910,B01Z7J1,2.860130,Semiconductors,90427.000,USD,,,,
Qorvo Inc.,QRVO,74736K10,BR9YYP4,2.858208,Semiconductors,454219.000,USD,,,,
NXP Semiconductors NV,NXPI,N6596X10,B505PN7,2.855635,Semiconductors,247430.000,USD,,,,
Silicon Laboratories Inc.,SLAB,82691910,2568131,2.792060,Semiconductors,255005.000,USD,,,,
Skyworks Solutions Inc.,SWKS,83088M10,2961053,2.776243,Semiconductors,389130.000,USD,,,,
Microchip Technology Incorporated,MCHP,59501710,2592174,2.770149,Semiconductors,530910.000,USD,,,,
Power Integrations Inc.,POWI,73927610,2133045,2.760944,Semiconductors,532367.000,USD,,,,
Diodes Incorporated,DIOD,25454310,2270500,2.744537,Semiconductors,490763.000,USD,,,,
Wolfspeed Inc,WOLF,97785210,BMBVND9,2.736684,Semiconductors,692592.000,USD,,,,
ON Semiconductor Corporation,ON,68218910,2583576,2.727087,Semiconductors,552523.000,USD,,,,
MaxLinear Inc.,MXL,57776J10,B3RDWC8,2.686402,Semiconductors,1309511.000,USD,,,,
Allegro MicroSystems Inc.,ALGM,01749D10,BN4LSB6,2.674804,Semiconductors,982851.000,USD,,,,
