Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,
XPO Inc.,XPO,98379310,B6Z1355,2.917421,Cargo Ground Transportation,154068.000,USD,,,,
Lyft Inc. Class A,LYFT,55087P10,BJT1RW7,2.683980,Passenger Ground Transportation,612926.000,USD,,,,
FedEx Corporation,FDX,31428X10,2142784,2.630685,Air Freight & Logistics,26538.000,USD,,,,
GXO Logistics Inc,GXO,36262G10,BNNTGF1,2.590084,Air Freight & Logistics,115152.000,USD,,,,
SkyWest Inc,SKYW,83087910,2814210,2.536243,Passenger Airlines,244852.000,USD,,,,
CSX Corporation,CSX,12640810,2160753,2.459163,Rail Transportation,181016.000,USD,,,,
Allegiant Travel Company,ALGT,01748X10,B15M2C3,2.442349,Passenger Airlines,55596.000,USD,,,,
Matson Inc.,MATX,57686G10,B8GNC91,2.406383,Marine,86208.000,USD,,,,
Expeditors International of Washington Inc.,EXPD,30213010,2325507,2.395997,Air Freight & Logistics,49692.000,USD,,,,
Saia Inc.,SAIA,78709Y10,2982399,2.390618,Cargo Ground Transportation,19356.000,USD,,,,
Forward Air Corporation,FWRD,34985310,2510790,2.374234,Air Freight & Logistics,50654.000,USD,,,,
Old Dominion Freight Line Inc.,ODFL,67958010,2656423,2.368342,Cargo Ground Transportation,15873.000,USD,,,,
Spirit Airlines Inc.,SAVE,84857710,B3ZG8F4,2.357065,Passenger Airlines,315363.000,USD,,,,
Landstar System Inc.,LSTR,51509810,2503994,2.354271,Cargo Ground Transportation,30231.000,USD,,,,
Union Pacific Corporation,UNP,90781810,2914734,2.333563,Rail Transportation,27254.000,USD,,,,
Werner Enterprises Inc.,WERN,95075510,2948852,2.329069,Cargo Ground Transportation,117409.000,USD,,,,
J.B. Hunt Transport Services Inc.,JBHT,44565810,2445416,2.308191,Cargo Ground Transportation,30426.000,USD,,,,
Norfolk Southern Corporation,NSC,65584410,2641894,2.307767,Rail Transportation,25343.000,USD,,,,
U-Haul Holding Company,UHAL,02358610,2028174,2.304211,Cargo Ground Transportation,87965.000,USD,,,,
Knight-Swift Transportation Holdings Inc. Class A,KNX,49904910,BF0LKD0,2.298091,Cargo Ground Transportation,95037.000,USD,,,,
ArcBest Corporation,ARCB,03937C10,BLTFST7,2.294404,Cargo Ground Transportation,55294.000,USD,,,,
United Parcel Service Inc. Class B,UPS,91131210,2517382,2.281488,Air Freight & Logistics,29436.000,USD,,,,
Schneider National Inc. Class B,SNDR,80689H10,BYVN953,2.254099,Cargo Ground Transportation,192961.000,USD,,,,
Kirby Corporation,KEX,49726610,2493534,2.242121,Marine,75630.000,USD,,,,
Southwest Airlines Co.,LUV,84474110,2831543,2.241065,Passenger Airlines,162906.000,USD,,,,
Uber Technologies Inc.,UBER,90353T10,BK6N347,2.232242,Passenger Ground Transportation,171587.000,USD,,,,
Joby Aviation Inc.,JOBY,G6516310,BMCRLL0,2.228623,Passenger Airlines,1348146.000,USD,,,,
