,Date,Cum_ret,Event,EventDate,Industry
0,2022-02-04,-0.019062260522879182,Invasion Announcement,2022-02-24,Food
1,2022-02-07,-0.003971212900329757,Invasion Announcement,2022-02-24,Food
2,2022-02-08,-0.0022355578810918653,Invasion Announcement,2022-02-24,Food
3,2022-02-09,-0.013325312825470559,Invasion Announcement,2022-02-24,Food
4,2022-02-10,-0.006934613729885242,Invasion Announcement,2022-02-24,Food
5,2022-02-11,0.019084201380011434,Invasion Announcement,2022-02-24,Food
6,2022-02-14,0.024064065468352158,Invasion Announcement,2022-02-24,Food
7,2022-02-15,0.013449111188944318,Invasion Announcement,2022-02-24,Food
8,2022-02-16,0.013016322562574345,Invasion Announcement,2022-02-24,Food
9,2022-02-17,0.036415703402804755,Invasion Announcement,2022-02-24,Food
10,2022-02-18,0.04414829307217949,Invasion Announcement,2022-02-24,Food
11,2022-02-22,0.058965255469176414,Invasion Announcement,2022-02-24,Food
12,2022-02-23,0.06284087377756675,Invasion Announcement,2022-02-24,Food
13,2022-02-24,0.029949551005758357,Invasion Announcement,2022-02-24,Food
14,2022-02-25,0.04354901412133971,Invasion Announcement,2022-02-24,Food
15,2022-02-28,0.038458398001724126,Invasion Announcement,2022-02-24,Food
16,2022-03-01,0.04429283634247949,Invasion Announcement,2022-02-24,Food
17,2022-03-02,0.03513788111049343,Invasion Announcement,2022-02-24,Food
18,2022-03-03,0.04089541173811395,Invasion Announcement,2022-02-24,Food
19,2022-03-04,0.04323298740374404,Invasion Announcement,2022-02-24,Food
20,2022-03-07,0.05568946262872787,Invasion Announcement,2022-02-24,Food
21,2022-03-08,0.03559916499505911,Invasion Announcement,2022-02-24,Food
22,2022-03-09,0.02030292947224388,Invasion Announcement,2022-02-24,Food
23,2022-03-10,0.013775000902786827,Invasion Announcement,2022-02-24,Food
24,2022-03-11,0.011898198911807656,Invasion Announcement,2022-02-24,Food
25,2022-03-14,0.02031170525110193,Invasion Announcement,2022-02-24,Food
26,2022-03-15,0.012838546288045816,Invasion Announcement,2022-02-24,Food
27,2022-03-16,-0.005245911609384035,Invasion Announcement,2022-02-24,Food
0,2022-02-04,-0.014931233473365446,Invasion Announcement,2022-02-24,Transport
1,2022-02-07,-0.00041751836806480647,Invasion Announcement,2022-02-24,Transport
2,2022-02-08,0.016185861133323654,Invasion Announcement,2022-02-24,Transport
3,2022-02-09,0.03235104520757237,Invasion Announcement,2022-02-24,Transport
4,2022-02-10,0.03817597954632013,Invasion Announcement,2022-02-24,Transport
5,2022-02-11,0.029584082520031085,Invasion Announcement,2022-02-24,Transport
6,2022-02-14,0.036185216271442,Invasion Announcement,2022-02-24,Transport
7,2022-02-15,0.05144561976701678,Invasion Announcement,2022-02-24,Transport
8,2022-02-16,0.05197102444539636,Invasion Announcement,2022-02-24,Transport
9,2022-02-17,0.053186056490633904,Invasion Announcement,2022-02-24,Transport
10,2022-02-18,0.052196518796088,Invasion Announcement,2022-02-24,Transport
11,2022-02-22,0.04964720530243616,Invasion Announcement,2022-02-24,Transport
